st001 | AS24 | Industriestraße 8, 9601 Arnoldstein | Diesel=1.1808 | AdBlue=0.625
st027 | Eurowag | TURMÖL, Kärntnerstr. 291, 8054 Graz | Diesel=1.201 | AdBlue=0.897
st028 | Eurowag | Diesel24, Bundesstr. 40, 8472 Spielfeld | Diesel=1.232 | AdBlue=0.632
st029 | Eurowag | EUROWAG, Johannes Humer-Straße 2, 4663 Laakirchen | Diesel=1.146 | AdBlue=0.387
st030 | Eurowag | PINK Tankstelle, Pummererstraße 22, 4020 Linz | Diesel=1.211 | AdBlue=0.527
st031 | Eurowag | MASTER Diesel, Handelsstr. 7, 4300 St. Valentin | Diesel=1.149 | AdBlue=0.487
st032 | Eurowag | OLDTIMER, Oldtimerweg 1, 3312 Oed bei Amstetten | Diesel=1.201 | AdBlue=0.897
st033 | Eurowag | MasterDiesel, Untergrossau 180, 8261 Sinabelkirchen | Diesel=1.16 | AdBlue=0.487
st034 | Eurowag | SPRINT/LEITNER, Leobner Straße 09, 8720 Knittelfeld | Diesel=1.216 | AdBlue=0.706
st035 | Eurowag | TURMÖL, Zeltenschlagerstraße 2, 8700 Leoben | Diesel=1.201 | AdBlue=None
st036 | Eurowag | TURMÖL, Hohenfeld 89, 8967 Haus im Ennstal | Diesel=1.201 | AdBlue=None
st037 | Eurowag | MAROLI Mikulov, K Vápence 609, 692 01 Mikulov | Diesel=1.023 | AdBlue=None
st038 | Eurowag | TP24 Memmingen, Oberer Buxheimer Weg 60, 87700 Memmingen | Diesel=1.344 | AdBlue=0.657
st039 | Eurowag | TP24 Geisingen, Im Espel 1, 78187 Geisingen | Diesel=1.328 | AdBlue=0.657
st040 | Eurowag | TP24 Aichstetten, Am Waizenhof 10, 88317 Aichstetten | Diesel=1.328 | AdBlue=0.657
st041 | Eurowag | Q1 Iffezheim, Am Forlenspitzen 1, 76473 Iffezheim | Diesel=1.3 | AdBlue=0.844
st042 | Eurowag | Esso, Sundgauallee 25, 79114 Freiburg | Diesel=1.464 | AdBlue=None
st043 | Eurowag | TP24 Heimsheim, Frankenstraße 10, 71296 Heimsheim | Diesel=1.328 | AdBlue=0.657
st044 | AS24 | Klausenstraße / Gewerbestr. EXIT N°15, 2534 Alland | Diesel=1.1808 | AdBlue=0.6667
st045 | Eurowag | MasterDiesel, Vorarlberger Allee 3, 1230 Wien | Diesel=1.167 | AdBlue=0.723
st046 | Eurowag | Turmöl, Wienerstr. 5, 2203 Eibesbrunn | Diesel=1.201 | AdBlue=0.897
st047 | Eurowag | Turmöl, Untere Hauptstraße 87, 7100 Neusiedl am See | Diesel=1.201 | AdBlue=None
st048 | Eurowag | ARMEX, Hevlin 471, CZ-67169 Hevlin | Diesel=1.127 | AdBlue=0.82
st049 | AS24 | GW Diesel, Linecká 263, 38241 Kaplice | Diesel=1.1402 | AdBlue=0.561
